"","Player","Span","Mat","Runs","HS","Bat Av","100","Wkts","BBI","Bowl Av","5","Ct","St","Ave Diff",""
"108","JW Dernbach (ENG)","2011-2014","34","24","12","4.80","0","39","4/22","26.15","0","8","0","-21.35",""
"109","BJ Haddin (AUS)","2006-2014","34","402","47","17.47","0","-","-","-","-","17","6","-",""
"110","Karim Sadiq (AFG)","2010-2016","34","505","72","14.85","0","14","3/17","34.42","0","5","0","-19.57",""
"111","DL Vettori (NZ)","2007-2014","34","205","38","12.81","0","38","4/20","19.68","0","9","0","-6.87",""
"112","Dawlat Zadran (AFG)","2012-2017","33","68","13","7.55","0","39","4/44","24.43","0","7","0","-16.88",""
"113","AJ Finch (AUS)","2011-2017","33","1132","156","37.73","1","0","-","-","0","8","0","-",""
"114","Sabbir Rahman (BDESH)","2014-2017","33","745","80","27.59","0","6","3/11","11.66","0","16","0","15.92",""
"115","DR Smith (WI)","2006-2015","33","582","72","18.18","0","7","3/24","30.28","0","8","0","-12.09",""
"116","GC Smith (SA)","2005-2011","33","982","89*","31.67","0","0","-","-","0","18","0","-",""
"117","Abdul Razzaq (PAK)","2006-2013","32","393","46*","20.68","0","20","3/13","19.75","0","2","0","0.93",""
"118","ADS Fletcher (WI)","2008-2016","32","576","84*","21.33","0","-","-","-","-","19","1","-",""
"119","Mohammad Amir (PAK)","2009-2017","32","41","21*","8.20","0","38","4/13","21.63","0","4","0","-13.43",""
"120","Nawroz Mangal (AFG)","2010-2017","32","505","65*","18.03","0","4","3/23","20.00","0","16","0","-1.96",""
"121","L Ronchi (AUS/NZ)","2008-2017","32","359","51*","18.89","0","-","-","-","-","24","5","-",""
"122","Shapoor Zadran (AFG)","2010-2017","32","27","13","3.85","0","31","2/9","24.54","0","5","0","-20.69",""
"123","Ahsan Malik (NL)","2012-2017","31","28","11*","9.33","0","44","5/19","16.59","1","13","0","-7.25",""
"124","Amir Hamza (AFG)","2013-2017","31","40","21","10.00","0","29","3/39","24.68","0","0","0","-14.68",""
"125","Q de Kock (SA)","2012-2017","31","801","59","29.66","0","-","-","-","-","30","9","-",""
"126","ST Jayasuriya (SL)","2006-2011","31","629","88","23.29","0","19","3/21","24.00","0","4","0","-0.70",""
"127","Nasir Hossain (BDESH)","2011-2016","31","370","50*","18.50","0","7","2/26","37.42","0","15","0","-18.92",""
"128","SB Styris (NZ)","2005-2010","31","578","66","21.40","0","18","3/5","19.38","0","8","0","2.01",""
"129","GJ Bailey (AUS/World)","2012-2017","30","473","63","24.89","0","-","-","-","-","10","0","-",""
"130","JJ Bumrah (INDIA)","2016-2017","30","8","7","4.00","0","40","3/11","18.40","0","4","0","-14.39",""
"131","CJ Chibhabha (ZIM)","2006-2016","30","600","67","20.68","0","13","3/18","30.46","0","8","0","-9.77",""
"132","MG Johnson (AUS)","2007-2013","30","109","28*","10.90","0","38","3/15","20.97","0","5","0","-10.07",""
"133","DT Johnston (IRE)","2008-2013","30","249","62","20.75","0","32","4/22","19.87","0","9","0","0.87",""
"134","NJ O'Brien (IRE)","2008-2016","30","466","50","17.92","0","-","-","-","-","17","10","-",""
"135","SPD Smith (AUS)","2010-2016","30","431","90","21.55","0","17","3/20","22.17","0","18","0","-0.62",""
"136","CJ Anderson (NZ)","2012-2017","29","432","94*","22.73","0","14","2/17","35.35","0","18","0","-12.62",""
"137","S Dhawan (INDIA)","2011-2017","28","543","80","21.72","0","-","-","-","-","7","0","-",""
"138","Harbhajan Singh (INDIA)","2006-2016","28","108","21","13.50","0","25","4/12","25.32","0","7","0","-11.81",""
"139","MJ McClenaghan (NZ)","2012-2016","28","14","6*","4.66","0","30","3/17","25.26","0","7","0","-20.59",""
"140","CS MacLeod (SCOT)","2009-2017","28","489","60","20.37","0","2","2/17","55.50","0","13","0","-35.12",""
"141","SJ Myburgh (NL)","2012-2017","28","640","71*","25.60","0","-","-","-","-","4","0","-",""
"142","JE Taylor (WI)","2006-2017","28","85","21","12.14","0","30","3/6","25.63","0","8","0","-13.49",""
"143","MN Waller (ZIM)","2011-2016","28","567","68","25.77","0","0","-","-","0","8","0","-",""
"144","AG Cremer (ZIM)","2008-2016","27","65","17","5.41","0","33","3/11","18.84","0","6","0","-13.43",""
"145","MJ Lumb (ENG)","2010-2014","27","552","63","21.23","0","-","-","-","-","8","0","-",""
"146","JF Mooney (IRE)","2009-2015","27","231","31*","16.50","0","10","2/7","17.60","0","13","0","-1.09",""
"147","A Nehra (INDIA)","2009-2017","27","28","22","5.60","0","34","3/19","22.29","0","4","0","-16.69",""
"148","MDKJ Perera (SL)","2013-2017","27","716","84","26.51","0","-","-","-","-","7","2","-",""
"149","Rashid Khan (AFG)","2015-2017","27","100","33","20.00","0","42","5/3","14.35","1","8","0","5.64",""
"150","Wahab Riaz (PAK)","2008-2017","27","126","30*","12.60","0","28","3/18","25.82","0","5","0","-13.22",""
"151","BN Cooper (NL)","2013-2017","26","411","66","22.83","0","-","-","-","-","14","0","-",""
"152","CJ Jordan (ENG)","2014-2017","26","134","27*","13.40","0","31","4/28","26.19","0","12","0","-12.79",""
"153","CO Obuya (KENYA)","2007-2013","26","507","75*","28.16","0","11","3/17","18.36","0","14","0","9.80",""
