"","Player","Span","Mat","Runs","HS","Bat Av","100","Wkts","BBI","Bowl Av","5","Ct","St","Ave Diff",""
"763","Mehidy Hasan Miraz (BDESH)","2017-2017","3","27","14","9.00","0","2","2/31","46.00","0","2","0","-36.99",""
"764","Mohammad Iqbal (CAN)","2008-2008","3","27","22","9.00","0","-","-","-","-","0","0","-",""
"765","Mohammad Kashif (NL)","2010-2010","3","0","0*","-","0","4","2/28","13.75","0","1","0","-",""
"766","Mohammad Tauqir (UAE)","2015-2015","3","4","4","4.00","0","0","-","-","0","1","0","-",""
"767","Mohammad Yousuf (PAK)","2006-2010","3","50","26","16.66","0","-","-","-","-","1","0","-",""
"768","Mohammed Qasim (UAE)","2016-2017","3","36","13*","18.00","0","0","-","-","0","1","0","-",""
"769","F Mutizwa (ZIM)","2011-2012","3","38","22","12.66","0","-","-","-","-","0","0","-",""
"770","Nadif Chowdhury (BDESH)","2006-2007","3","27","12","9.00","0","-","-","-","-","0","0","-",""
"771","M Nasim Baras (AFG)","2015-2015","3","1","1","1.00","0","2","1/11","28.00","0","3","0","-26.99",""
"772","L Ngidi (SA)","2017-2017","3","2","2*","-","0","6","4/19","7.33","0","0","0","-",""
"773","L Nou (PNG)","2015-2015","3","2","2*","-","0","1","1/24","65.00","0","0","0","-",""
"774","GH O'Brien (BMUDA)","2008-2008","3","14","7*","7.00","0","5","2/11","8.20","0","0","0","-1.19",""
"775","SD Outerbridge (BMUDA)","2008-2008","3","49","37*","24.50","0","-","-","-","-","1","0","-",""
"776","MM Patel (INDIA)","2011-2011","3","0","0","0.00","0","4","2/25","21.50","0","0","0","-21.49",""
"777","MDK Perera (SL)","2011-2011","3","1","1","0.50","0","3","3/26","24.00","0","0","0","-23.49",""
"778","GD Phillips (NZ)","2017-2017","3","16","11","8.00","0","-","-","-","-","2","0","-",""
"779","OL Pitcher (BMUDA)","2008-2008","3","34","15","11.33","0","0","-","-","0","2","0","-",""
"780","N Pokana (PNG)","2016-2016","3","10","8*","10.00","0","2","1/5","15.00","0","0","0","-4.99",""
"781","N Pooran (WI)","2016-2016","3","25","16","8.33","0","-","-","-","-","0","0","-",""
"782","A Poulose (OMAN)","2017-2017","3","9","9","3.00","0","-","-","-","-","2","0","-",""
"783","SMA Priyanjan (SL)","2017-2017","3","54","40*","54.00","0","-","-","-","-","0","0","-",""
"784","Rafatullah Mohmand (PAK)","2015-2015","3","39","23","13.00","0","-","-","-","-","0","0","-",""
"785","CAK Rajitha (SL)","2016-2016","3","3","3*","-","0","3","3/29","40.00","0","0","0","-",""
"786","RJ Ranpura (OMAN)","2015-2016","3","5","5*","-","0","3","2/17","10.66","0","0","0","-",""
"787","KW Richardson (AUS)","2014-2016","3","9","9","9.00","0","1","1/13","82.00","0","2","0","-72.99",""
"788","Rokhan Barakzai (AFG)","2015-2015","3","-","-","-","-","6","2/21","12.50","0","0","0","-",""
"789","Saad Nasim (PAK)","2014-2014","3","44","25","22.00","0","0","-","-","0","1","0","-",""
"790","S Samarawickrama (SL)","2017-2017","3","59","32","19.66","0","-","-","-","-","2","1","-",""
"791","PADLR Sandakan (SL)","2017-2017","3","-","-","-","-","6","4/23","12.66","0","2","0","-",""
"792","Sayed Shirzad (AFG)","2015-2016","3","1","1","1.00","0","7","3/16","10.57","0","1","0","-9.57",""
"793","A Shahzad (ENG)","2010-2011","3","0","0*","-","0","3","2/38","32.33","0","1","0","-",""
"794","VS Solanki (ENG)","2005-2007","3","76","43","25.33","0","-","-","-","-","3","0","-",""
"795","R Telemachus (SA)","2006-2007","3","5","5*","-","0","2","1/22","45.00","0","0","0","-",""
"796","DC Thomas (WI)","2009-2013","3","-","-","-","-","-","-","-","-","0","1","-",""
"797","S Thuraisingam (CAN)","2008-2008","3","18","15","18.00","0","2","1/13","22.00","0","0","0","-3.99",""
"798","MK Tiwary (INDIA)","2011-2012","3","15","15","15.00","0","-","-","-","-","2","0","-",""
"799","ME Trescothick (ENG)","2005-2006","3","166","72","55.33","0","-","-","-","-","2","0","-",""
"800","RJ Trott (BMUDA)","2008-2008","3","10","8","5.00","0","0","-","-","0","0","0","-",""
"801","DR Tuffey (NZ)","2005-2010","3","5","5*","5.00","0","3","2/16","31.00","0","0","0","-25.99",""
"802","AJ Turner (AUS)","2017-2017","3","26","18","8.66","0","3","2/12","14.00","0","2","0","-5.33",""
"803","Umair Ali (UAE)","2015-2015","3","22","13","22.00","0","1","1/13","28.00","0","0","0","-5.99",""
"804","Usman Mushtaq (UAE)","2016-2016","3","13","9","13.00","0","-","-","-","-","0","0","-",""
"805","VB van Jaarsveld (SA)","2009-2009","3","15","12","5.00","0","-","-","-","-","0","0","-",""
"806","KDK Vithanage (SL)","2014-2016","3","40","38","13.33","0","-","-","-","-","1","0","-",""
"807","G Wijekoon (SL)","2007-2007","3","1","1*","1.00","0","2","1/12","50.50","0","0","0","-49.49",""
"808","LJ Woodcock (NZ)","2010-2011","3","-","-","-","-","1","1/30","70.00","0","1","0","-",""
"809","CM Wright (SCOT)","2007-2009","3","14","14","14.00","0","4","3/29","12.25","0","1","0","1.75",""
"810","Zaheer Maqsood (UAE)","2015-2016","3","2","2","2.00","0","1","1/29","80.00","0","1","0","-77.99",""
"811","Zahid Hussain (CAN)","2012-2012","3","3","2*","-","0","3","3/16","15.66","0","1","0","-",""
"812","Zahoor Khan (UAE)","2017-2017","3","-","-","-","-","3","2/27","23.33","0","1","0","-",""
"813","Zulqarnain Haider (PAK)","2007-2010","3","23","17","7.66","0","-","-","-","-","0","1","-",""
"814","YA Abdulla (SA)","2009-2009","2","-","-","-","-","2","1/16","22.00","0","0","0","-",""
"815","AC Agar (AUS)","2016-2016","2","9","9","9.00","0","1","1/25","43.00","0","3","0","-33.99",""
"816","RI Ahmed (NL)","2015-2015","2","38","25","19.00","0","-","-","-","-","0","0","-",""
"817","Asad Ali (PAK)","2013-2013","2","-","-","-","-","0","-","-","0","0","0","-",""
"818","TD Astle (NZ)","2016-2016","2","1","1","1.00","0","0","-","-","0","2","0","-",""
"819","MS Atapattu (SL)","2006-2006","2","5","5","5.00","0","-","-","-","-","0","0","-",""
"820","P Awana (INDIA)","2012-2012","2","-","-","-","-","0","-","-","0","0","0","-",""
"821","AB Barath (WI)","2010-2011","2","23","15","11.50","0","-","-","-","-","1","0","-",""
"822","TC Bastiampillai (CAN)","2010-2010","2","-","-","-","-","-","-","-","-","0","0","-",""
"823","JP Behrendorff (AUS)","2017-2017","2","-","-","-","-","4","4/21","6.50","0","1","0","-",""
"824","IS Billcliff (CAN)","2010-2010","2","51","37","25.50","0","-","-","-","-","0","0","-",""
"825","NE Bonner (WI)","2011-2012","2","27","24","13.50","0","0","-","-","0","0","0","-",""
"826","JP Bray (IRE)","2009-2009","2","2","2","1.00","0","-","-","-","-","2","0","-",""
"827","DR Brown (SCOT)","2007-2007","2","1","1","1.00","0","0","-","-","0","0","0","-",""
"828","CL Cairns (NZ)","2005-2006","2","3","2","1.50","0","1","1/28","52.00","0","1","0","-50.49",""
"829","DO Christian (WI)","2011-2011","2","0","0","0.00","0","-","-","-","-","0","0","-",""
"830","MS Crane (ENG)","2017-2017","2","-","-","-","-","1","1/38","62.00","0","0","0","-",""
"831","Dawlat Ahmadzai (AFG)","2010-2010","2","2","2*","-","0","2","1/21","23.00","0","0","0","-",""
"832","AS Dean (CAN)","2008-2013","2","8","7","4.00","0","2","2/18","16.00","0","1","0","-11.99",""
"833","TB de Bruyn (SA)","2017-2017","2","26","19","13.00","0","-","-","-","-","2","0","-",""
"834","LHD Dilhara (SL)","2008-2008","2","18","18*","-","0","2","2/6","15.00","0","0","0","-",""
"835","TM Dowlin (WI)","2009-2010","2","68","37*","68.00","0","-","-","-","-","0","0","-",""
"836","Fawad Ahmed (AUS)","2013-2013","2","3","3*","-","0","3","3/25","22.66","0","0","0","-",""
"837","N Pradeep (SL)","2016-2017","2","0","0","0.00","0","0","-","-","0","0","0","-",""
"838","B Fernando (SL)","2015-2015","2","8","8*","-","0","3","2/33","23.66","0","0","0","-",""
"839","SE Findlay (WI)","2008-2008","2","32","19","16.00","0","-","-","-","-","1","0","-",""
"840","R Frylinck (SA)","2017-2017","2","-","-","-","-","3","2/33","14.00","0","1","0","-",""
"841","ST Gabriel (WI)","2013-2013","2","-","-","-","-","3","3/44","18.66","0","1","0","-",""
"842","DM Gondaria (KENYA)","2013-2013","2","-","-","-","-","-","-","-","-","1","0","-",""
"843","JOA Gordon (CAN)","2013-2013","2","2","2*","-","0","2","2/30","31.00","0","0","0","-",""
"844","D Gough (ENG)","2005-2006","2","-","-","-","-","3","3/16","16.33","0","0","0","-",""
"845","HF Gurney (ENG)","2014-2014","2","-","-","-","-","3","2/26","18.33","0","0","0","-",""
"846","AJ Hall (SA)","2006-2006","2","11","11","11.00","0","3","3/22","20.00","0","0","0","-8.99",""
"847","SJ Harmison (ENG)","2005-2006","2","-","-","-","-","1","1/13","42.00","0","1","0","-",""
"848","DL Hemp (BMUDA)","2008-2008","2","20","20","10.00","0","-","-","-","-","0","0","-",""
"849","H Hiri (PNG)","2016-2016","2","2","1","1.00","0","0","-","-","0","0","0","-",""
"850","Iftikhar Anjum (PAK)","2007-2009","2","-","-","-","-","1","1/34","67.00","0","0","0","-",""
"851","GO Jones (ENG)","2005-2006","2","33","19","33.00","0","-","-","-","-","2","0","-",""
"852","S Jyoti (CAN)","2008-2008","2","10","10*","10.00","0","-","-","-","-","0","0","-",""
"853","A Karn (NEPAL)","2015-2015","2","4","4","4.00","0","1","1/31","49.00","0","0","0","-44.99",""
"854","MS Kasprowicz (AUS)","2005-2005","2","3","3*","-","0","5","4/29","11.40","0","2","0","-",""
"855","S Keshvani (CAN)","2010-2010","2","0","0*","-","0","-","-","-","-","1","0","-",""
"856","HGJM Kulatunga (SL)","2008-2008","2","19","11","9.50","0","-","-","-","-","2","0","-",""
"857","DS Kulkarni (INDIA)","2016-2016","2","1","1*","-","0","3","2/23","18.33","0","0","0","-",""
"858","E Leie (SA)","2015-2015","2","-","-","-","-","4","3/16","12.00","0","0","0","-",""
"859","RDM Leverock (BMUDA)","2008-2008","2","-","-","-","-","0","-","-","0","0","0","-",""
"860","J Lewis (ENG)","2005-2007","2","1","1","1.00","0","4","4/24","13.75","0","1","0","-12.74",""
"861","ML Lewis (AUS)","2006-2006","2","-","-","-","-","4","2/18","12.25","0","1","0","-",""
"862","J Little (IRE)","2016-2017","2","0","0","0.00","0","0","-","-","0","0","0","-",""
"863","LS Livingstone (ENG)","2017-2017","2","16","16","8.00","0","-","-","-","-","0","0","-",""
"864","KS Lokuarachchi (SL)","2012-2012","2","11","11","5.50","0","2","2/31","24.00","0","1","0","-18.49",""
"865","J Louw (SA)","2008-2009","2","1","1*","-","0","2","2/36","27.00","0","0","0","-",""
"866","RT Lyons (SCOT)","2010-2010","2","4","4","2.00","0","1","1/26","40.00","0","0","0","-37.99",""
"867","GD McGrath (AUS)","2005-2005","2","5","5","5.00","0","5","3/31","15.80","0","1","0","-10.79",""
"868","AJ McKay (NZ)","2010-2010","2","0","0","0.00","0","2","2/20","15.50","0","0","0","-15.49",""
"869","ND McKenzie (SA)","2006-2009","2","7","7*","-","0","-","-","-","-","0","0","-",""
"870","NJ Maddinson (AUS)","2013-2014","2","38","34","19.00","0","-","-","-","-","0","0","-",""
"871","AK Mandal (NEPAL)","2015-2015","2","11","9","5.50","0","-","-","-","-","1","0","-",""
"872","BJ McCarthy (IRE)","2017-2017","2","0","0","0.00","0","4","4/33","25.50","0","0","0","-25.49",""
"873","SC Meaker (ENG)","2012-2012","2","-","-","-","-","2","1/28","35.00","0","1","0","-",""
"874","A Mehmood (HKG)","2016-2016","2","0","0*","-","0","0","-","-","0","0","0","-",""
"875","Mehrab Hossain jnr (BDESH)","2008-2009","2","16","10","16.00","0","0","-","-","0","0","0","-",""
"876","KO Meth (ZIM)","2012-2012","2","6","6*","-","0","0","-","-","0","1","0","-",""
"877","Munir Dar (HKG)","2014-2014","2","39","36","19.50","0","-","-","-","-","1","0","-",""
"878","P Mustard (ENG)","2008-2008","2","60","40","30.00","0","-","-","-","-","0","0","-",""
"879","A Nao (PNG)","2017-2017","2","7","7*","-","0","0","-","-","0","0","0","-",""
"880","A Nel (SA)","2005-2007","2","0","0*","-","0","2","2/19","21.00","0","1","0","-",""
"881","AA Noffke (AUS)","2007-2008","2","0","0","0.00","0","4","3/18","10.25","0","0","0","-10.24",""
"882","NV Ojha (INDIA)","2010-2010","2","12","10","6.00","0","-","-","-","-","0","0","-",""
"883","K Pala (PNG)","2015-2015","2","41","22*","41.00","0","-","-","-","-","1","0","-",""
"884","RR Pant (INDIA)","2017-2017","2","43","38","43.00","0","-","-","-","-","1","0","-",""
"885","MA Parker (SCOT)","2012-2012","2","-","-","-","-","1","1/36","61.00","0","0","0","-",""
"886","PA Patel (INDIA)","2011-2011","2","36","26","18.00","0","-","-","-","-","1","0","-",""
"887","AK Perera (SL)","2013-2014","2","4","4","4.00","0","0","-","-","0","1","0","-",""
"888","PDRL Perera (SL)","2006-2006","2","0","0*","-","0","0","-","-","0","0","0","-",""
"889","AN Petersen (SA)","2010-2010","2","14","8","7.00","0","-","-","-","-","1","0","-",""
"890","D Pretorius (SA)","2017-2017","2","-","-","-","-","1","1/27","47.00","0","0","0","-",""
"891","P Raho (PNG)","2016-2016","2","10","8*","-","0","3","3/11","6.66","0","0","0","-",""
"892","EC Rainsford (ZIM)","2010-2010","2","1","1*","-","0","0","-","-","0","0","0","-",""
"893","RLB Rambukwella (SL)","2013-2016","2","19","19","19.00","0","1","1/19","46.00","0","0","0","-26.99",""
"894","Rameez Raja (2) (PAK)","2011-2011","2","24","23","12.00","0","-","-","-","-","0","0","-",""
"895","DA Rankin (IRE)","2015-2016","2","49","34","24.50","0","-","-","-","-","0","0","-",""
"896","NJ Reardon (AUS)","2014-2014","2","4","4","4.00","0","-","-","-","-","0","0","-",""
"897","JA Richardson (AUS)","2017-2017","2","0","0","0.00","0","2","1/24","31.00","0","3","0","-30.99",""
"898","GA Rogers (SCOT)","2008-2009","2","7","6*","-","0","2","2/15","33.50","0","0","0","-",""
"899","IH Romaine (BMUDA)","2008-2008","2","9","8","4.50","0","2","2/2","10.50","0","1","0","-5.99",""
"900","RJMGM Rupasinghe (SL)","2009-2009","2","33","18","16.50","0","-","-","-","-","1","0","-",""
"901","Sandeep Sharma (INDIA)","2015-2015","2","1","1*","-","0","1","1/39","73.00","0","0","0","-",""
"902","Shakeel Ansar (PAK)","2012-2012","2","0","0","0.00","0","-","-","-","-","1","1","-",""
"903","T Shamsi (SA)","2017-2017","2","-","-","-","-","0","-","-","0","0","0","-",""
"904","JNK Shannon (IRE)","2013-2016","2","2","2","1.00","0","-","-","-","-","1","0","-",""
"905","R Sharma (INDIA)","2012-2012","2","-","-","-","-","3","2/29","18.66","0","0","0","-",""
"906","V Shetty (UAE)","2014-2014","2","11","10","11.00","0","-","-","-","-","1","0","-",""
"907","PM Siddle (AUS)","2009-2010","2","1","1*","-","0","3","2/24","19.33","0","0","0","-",""
"908","Sikander Zulfiqar (NL)","2016-2016","2","9","9*","-","0","-","-","-","-","2","0","-",""
"909","EHSN Silva (UAE)","2014-2014","2","16","13*","16.00","0","2","1/20","29.00","0","1","0","-12.99",""
"910","MS Sinclair (NZ)","2005-2007","2","0","0","0.00","0","-","-","-","-","0","0","-",""
"911","BB Sran (INDIA)","2016-2016","2","-","-","-","-","6","4/10","6.83","0","0","0","-",""
"912","MP Stoinis (AUS)","2015-2017","2","10","10*","-","0","1","1/20","33.00","0","0","0","-",""
"913","Sufyan Mehmood (OMAN)","2015-2016","2","13","13*","-","0","1","1/22","30.00","0","1","0","-",""
"914","Sultan Ahmed (UAE)","2017-2017","2","-","-","-","-","1","1/12","38.00","0","0","0","-",""
"915","MB van Schelven (NL)","2015-2015","2","-","-","-","-","3","2/22","10.00","0","1","0","-",""
"916","MP Vaughan (ENG)","2005-2007","2","27","27","13.50","0","-","-","-","-","0","0","-",""
"917","VS Wategaonkar (OMAN)","2016-2016","2","14","14","14.00","0","-","-","-","-","1","0","-",""
"918","UWMBCA Welegedara (SL)","2010-2010","2","2","2*","-","0","1","1/21","61.00","0","0","0","-",""
"919","MA Wood (ENG)","2015-2017","2","-","-","-","-","5","3/26","12.40","0","0","0","-",""
"920","GH Worker (NZ)","2015-2015","2","90","62","45.00","0","1","1/19","19.00","0","1","0","26.00",""
"921","Yamin Ahmadzai (AFG)","2015-2015","2","1","1*","-","0","5","3/34","13.00","0","0","0","-",""
"922","Yasir Shah (PAK)","2011-2011","2","11","11*","-","0","0","-","-","0","4","0","-",""
"923","Aamer Yamin (PAK)","2015-2015","1","-","-","-","-","1","1/12","12.00","0","0","0","-",""
"924","Abdur Rauf (PAK)","2008-2008","1","-","-","-","-","0","-","-","0","0","0","-",""
"925","Adnan Mufti (UAE)","2017-2017","1","7","7*","-","0","-","-","-","-","0","0","-",""
"926","Afsar Zazai (AFG)","2013-2013","1","9","9","9.00","0","-","-","-","-","0","1","-",""
"927","GW Aldridge (NZ)","2011-2011","1","-","-","-","-","1","1/45","45.00","0","1","0","-",""
"928","TR Ambrose (ENG)","2008-2008","1","-","-","-","-","-","-","-","-","1","1","-",""
"929","Anas Khan (HKG)","2014-2014","1","21","21*","-","0","-","-","-","-","0","0","-",""
"930","S Aravind (INDIA)","2015-2015","1","-","-","-","-","1","1/44","44.00","0","0","0","-",""
"931","RP Arnold (SL)","2006-2006","1","7","7","7.00","0","-","-","-","-","0","0","-",""
"932","Arsalan Qadir (CAN)","2010-2010","1","-","-","-","-","0","-","-","0","0","0","-",""
"933","Atif Ali Khan (UAE)","2016-2016","1","-","-","-","-","0","-","-","0","0","0","-",""
"934","S Badrinath (INDIA)","2011-2011","1","43","43","43.00","0","-","-","-","-","0","0","-",""
"935","CT Bancroft (AUS)","2016-2016","1","0","0*","-","0","-","-","-","-","1","0","-",""
"936","KMC Bandara (SL)","2016-2016","1","2","2*","-","0","0","-","-","0","0","0","-",""
"937","MC Bascombe (WI)","2011-2011","1","3","3","3.00","0","-","-","-","-","0","0","-",""
"938","OO Bascome (BMUDA)","2008-2008","1","2","2","2.00","0","-","-","-","-","0","0","-",""
"939","GJ Batty (ENG)","2009-2009","1","4","4","4.00","0","0","-","-","0","0","0","-",""
"940","D Bau (PNG)","2017-2017","1","-","-","-","-","-","-","-","-","0","0","-",""
"941","DE Bernard (WI)","2009-2009","1","1","1*","-","0","0","-","-","0","0","0","-",""
"942","A Bhattarai (NEPAL)","2014-2014","1","2","2","2.00","0","1","1/12","12.00","0","0","0","-9.99",""
"943","AM Blignaut (ZIM)","2010-2010","1","8","8","8.00","0","-","-","-","-","0","0","-",""
"944","TA Blundell (NZ)","2017-2017","1","-","-","-","-","-","-","-","-","0","0","-",""
"945","GH Bodi (SA)","2007-2007","1","8","8","8.00","0","-","-","-","-","0","0","-",""
"946","N Boje (SA)","2005-2005","1","-","-","-","-","1","1/27","27.00","0","0","0","-",""
"947","SG Borthwick (ENG)","2011-2011","1","14","14","14.00","0","1","1/15","15.00","0","1","0","-0.99",""
"948","IDR Bradshaw (WI)","2006-2006","1","0","0*","-","0","0","-","-","0","1","0","-",""
"949","CG Burnett (SCOT)","2013-2013","1","-","-","-","-","3","3/18","6.00","0","0","0","-",""
"950","DK Butler (WI)","2006-2006","1","-","-","-","-","0","-","-","0","1","0","-",""
"951","MA Carberry (ENG)","2014-2014","1","7","7","7.00","0","-","-","-","-","1","0","-",""
"952","FRJ Coleman (SCOT)","2013-2013","1","9","9","9.00","0","-","-","-","-","0","0","-",""
"953","D Daesrath (CAN)","2013-2013","1","-","-","-","-","-","-","-","-","0","0","-",""
"954","PA Desai (CAN)","2012-2012","1","4","4*","-","0","1","1/30","30.00","0","0","0","-",""
"955","SI de Saram (SL)","2009-2009","1","-","-","-","-","-","-","-","-","1","0","-",""
"956","PC de Silva (SL)","2017-2017","1","21","21","21.00","0","0","-","-","0","1","0","-",""
"957","R Dhawan (INDIA)","2016-2016","1","1","1*","-","0","1","1/42","42.00","0","2","0","-",""
"958","Dhiman Ghosh (BDESH)","2008-2008","1","1","1","1.00","0","-","-","-","-","0","1","-",""
"959","BJ Diamanti (NZ)","2009-2009","1","-","-","-","-","0","-","-","0","0","0","-",""
"960","HH Dippenaar (SA)","2006-2006","1","1","1","1.00","0","-","-","-","-","0","0","-",""
"961","R Dravid (INDIA)","2011-2011","1","31","31","31.00","0","-","-","-","-","0","0","-",""
"962","PS Eaglestone (IRE)","2010-2010","1","-","-","-","-","0","-","-","0","0","0","-",""
"963","Fayyaz Ahmed (UAE)","2015-2015","1","11","11","11.00","0","1","1/29","29.00","0","1","0","-17.99",""
"964","LH Ferguson (NZ)","2017-2017","1","-","-","-","-","3","3/32","10.66","0","0","0","-",""
"965","D Ganga (WI)","2006-2006","1","26","26","26.00","0","-","-","-","-","0","0","-",""
"966","B Geeves (AUS)","2009-2009","1","-","-","-","-","2","2/35","17.50","0","0","0","-",""
"967","JN Gillespie (AUS)","2005-2005","1","24","24","24.00","0","1","1/49","49.00","0","0","0","-24.99",""
"968","Hashmatullah Shahidi (AFG)","2013-2013","1","1","1*","-","0","-","-","-","-","0","0","-",""
"969","Hazratullah (AFG)","2016-2016","1","18","18","18.00","0","-","-","-","-","0","0","-",""
"970","T Henderson (SA)","2006-2006","1","0","0","0.00","0","0","-","-","0","0","0","-",""
"971","PA Hitchcock (NZ)","2008-2008","1","13","13","13.00","0","2","2/43","21.50","0","0","0","-8.49",""
"972","KC Hodsoll (BMUDA)","2008-2008","1","0","0","0.00","0","0","-","-","0","0","0","-",""
"973","PJ Hughes (AUS)","2014-2014","1","6","6","6.00","0","-","-","-","-","0","0","-",""
"974","Iftikhar Ahmed (PAK)","2016-2016","1","0","0*","-","0","-","-","-","-","0","0","-",""
"975","Inzamam-ul-Haq (PAK)","2006-2006","1","11","11*","-","0","-","-","-","-","0","0","-",""
"976","AJ Ireland (ZIM)","2006-2006","1","2","2*","-","0","1","1/33","33.00","0","0","0","-",""
"977","JS Jesani (KENYA)","2007-2007","1","1","1","1.00","0","-","-","-","-","0","0","-",""
"978","Jubair Hossain (BDESH)","2015-2015","1","-","-","-","-","2","2/20","10.00","0","0","0","-",""
"979","TP Kamungozi (ZIM)","2014-2014","1","-","-","-","-","0","-","-","0","0","0","-",""
"980","M Kartik (INDIA)","2007-2007","1","-","-","-","-","0","-","-","0","0","0","-",""
"981","RWT Key (ENG)","2009-2009","1","10","10*","-","0","-","-","-","-","1","0","-",""
"982","A Khan (ENG)","2009-2009","1","2","2","2.00","0","2","2/34","17.00","0","0","0","-14.99",""
"983","GE Kidd (IRE)","2010-2010","1","1","1*","-","0","0","-","-","0","0","0","-",""
"984","VJ Kingma (NL)","2016-2016","1","1","1","1.00","0","1","1/32","32.00","0","0","0","-30.99",""
"985","RJ Kirtley (ENG)","2007-2007","1","2","2*","-","0","0","-","-","0","0","0","-",""
"986","GJP Kruger (SA)","2006-2006","1","3","3","3.00","0","0","-","-","0","0","0","-",""
"987","RN Lewis (WI)","2008-2008","1","0","0","0.00","0","0","-","-","0","1","0","-",""
"988","NM Lyon (AUS)","2016-2016","1","-","-","-","-","0","-","-","0","0","0","-",""
"989","DJ Malan (ENG)","2017-2017","1","78","78","78.00","0","-","-","-","-","1","0","-",""
"990","Mansoor Amjad (PAK)","2008-2008","1","-","-","-","-","3","3/3","1.00","0","2","0","-",""
"991","A Martin (WI)","2011-2011","1","-","-","-","-","1","1/20","20.00","0","2","0","-",""
"992","Mohammad Qazi (CAN)","2008-2008","1","0","0","0.00","0","-","-","-","-","0","0","-",""
"993","Mohammad Rafique (BDESH)","2006-2006","1","13","13","13.00","0","1","1/22","22.00","0","0","0","-8.99",""
"994","Mohammad Salman (PAK)","2011-2011","1","5","5","5.00","0","-","-","-","-","1","1","-",""
"995","Mohammad Shahid (BDESH)","2016-2016","1","-","-","-","-","1","1/32","32.00","0","0","0","-",""
"996","Mohammed Siraj (INDIA)","2017-2017","1","-","-","-","-","1","1/53","53.00","0","0","0","-",""
"997","GMC Mol (NL)","2008-2008","1","-","-","-","-","-","-","-","-","-","-","-",""
"998","D Mongia (INDIA)","2006-2006","1","38","38","38.00","0","-","-","-","-","1","0","-",""
"999","Muhammed Shanil (UAE)","2016-2016","1","1","1*","-","0","0","-","-","0","0","0","-",""
"1000","Muktar Ali (BDESH)","2016-2016","1","19","19*","-","0","0","-","-","0","0","0","-",""
"1001","Najeeb Amar (HKG)","2014-2014","1","2","2","2.00","0","1","1/29","29.00","0","0","0","-26.99",""
"1002","Nasir Aziz (UAE)","2015-2015","1","-","-","-","-","0","-","-","0","0","0","-",""
"1003","Nauman Anwar (PAK)","2015-2015","1","18","18","18.00","0","-","-","-","-","0","0","-",""
"1004","Nazmus Sadat (BDESH)","2006-2006","1","4","4","4.00","0","-","-","-","-","0","0","-",""
"1005","P Negi (INDIA)","2016-2016","1","-","-","-","-","1","1/16","16.00","0","2","0","-",""
"1006","PA Nixon (ENG)","2007-2007","1","31","31*","-","0","-","-","-","-","0","1","-",""
"1007","ML Nkala (ZIM)","2006-2006","1","1","1","1.00","0","-","-","-","-","0","0","-",""
"1008","MJ North (AUS)","2009-2009","1","20","20","20.00","0","-","-","-","-","0","0","-",""
"1009","LN Oluoch (KENYA)","2013-2013","1","-","-","-","-","0","-","-","0","0","0","-",""
"1010","MS Panesar (ENG)","2007-2007","1","1","1","1.00","0","2","2/40","20.00","0","0","0","-18.99",""
"1011","BA Parchment (WI)","2007-2007","1","10","10","10.00","0","-","-","-","-","0","0","-",""
"1012","Parvez Rasool (INDIA)","2017-2017","1","5","5","5.00","0","1","1/32","32.00","0","0","0","-26.99",""
"1013","WKD Perkins (WI)","2008-2008","1","9","9","9.00","0","-","-","-","-","1","0","-",""
"1014","LA Pomersbach (AUS)","2007-2007","1","15","15","15.00","0","-","-","-","-","0","0","-",""
"1015","KOA Powell (WI)","2014-2014","1","12","12","12.00","0","-","-","-","-","1","0","-",""
"1016","KTGD Prasad (SL)","2011-2011","1","-","-","-","-","0","-","-","0","0","0","-",""
"1017","AG Prince (SA)","2005-2005","1","5","5","5.00","0","-","-","-","-","0","0","-",""
"1018","M Pushpakumara (SL)","2009-2009","1","-","-","-","-","1","1/27","27.00","0","1","0","-",""
"1019","CMW Read (ENG)","2006-2006","1","13","13","13.00","0","-","-","-","-","1","0","-",""
"1020","FL Reifer (WI)","2009-2009","1","22","22","22.00","0","-","-","-","-","1","0","-",""
"1021","ACL Richards (WI)","2007-2007","1","10","10","10.00","0","-","-","-","-","0","0","-",""
"1022","DM Richards (WI)","2009-2009","1","0","0","0.00","0","-","-","-","-","0","0","-",""
"1023","Robiul Islam (BDESH)","2013-2013","1","-","-","-","-","0","-","-","0","0","0","-",""
"1024","BJ Rohrer (AUS)","2013-2013","1","16","16","16.00","0","-","-","-","-","0","0","-",""
"1025","Rony Talukdar (BDESH)","2015-2015","1","21","21","21.00","0","-","-","-","-","0","0","-",""
"1026","JA Rudolph (SA)","2006-2006","1","6","6*","-","0","-","-","-","-","0","0","-",""
"1027","Sajedul Islam (BDESH)","2013-2013","1","-","-","-","-","0","-","-","0","1","0","-",""
"1028","SV Samson (INDIA)","2015-2015","1","19","19","19.00","0","-","-","-","-","1","0","-",""
"1029","Saqlain Sajib (BDESH)","2016-2016","1","-","-","-","-","0","-","-","0","0","0","-",""
"1030","JD Schoonheim (NL)","2008-2008","1","-","-","-","-","-","-","-","-","-","-","-",""
"1031","Shabbir Ahmed (PAK)","2007-2007","1","-","-","-","-","0","-","-","0","0","0","-",""
"1032","Shabir Noori (AFG)","2012-2012","1","15","15","15.00","0","-","-","-","-","0","0","-",""
