"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"136","AM Rahane (INDIA)","2011-2016","20","20","2","375","61","20.83","331","113.29","0","1","2","32","6",""
"137","Nasir Hossain (BDESH)","2011-2016","31","24","4","370","50*","18.50","326","113.49","0","2","2","30","7",""
"138","Zeeshan Maqsood (OMAN)","2015-2017","16","15","0","368","52","24.53","315","116.82","0","1","2","49","8",""
"139","Nasir Jamshed (PAK)","2012-2013","18","18","1","363","56","21.35","320","113.43","0","2","1","34","12",""
"140","Sharjeel Khan (PAK)","2013-2016","15","15","0","360","59","24.00","262","137.40","0","2","0","48","13",""
"141","L Ronchi (AUS/NZ)","2008-2017","32","25","6","359","51*","18.89","254","141.33","0","1","4","30","14",""
"142","Anamul Haque (BDESH)","2012-2015","13","13","2","355","58","32.27","301","117.94","0","1","1","38","12",""
"143","OA Shah (ENG)","2007-2009","17","15","1","347","55*","24.78","284","122.18","0","1","0","26","13",""
"144","RR Patel (KENYA)","2008-2013","22","19","2","345","52","20.29","298","115.77","0","1","1","16","20",""
"145","AD Russell (WI)","2011-2016","43","35","11","345","43*","14.37","267","129.21","0","0","6","25","18",""
"146","SO Tikolo (KENYA)","2007-2013","15","15","3","345","56*","28.75","281","122.77","0","2","3","46","6",""
"147","S Chanderpaul (WI)","2006-2010","22","22","5","343","41","20.17","347","98.84","0","0","0","34","5",""
"148","Sikandar Raza (ZIM)","2013-2016","26","25","0","341","59","13.64","329","103.64","0","1","0","28","6",""
"149","A Symonds (AUS)","2005-2009","14","11","4","337","85*","48.14","199","169.34","0","2","2","33","10",""
"150","JM Bairstow (ENG)","2011-2017","23","18","5","329","60*","25.30","274","120.07","0","2","0","31","9",""
"151","RJ Nicol (NZ)","2010-2013","21","19","0","327","58","17.21","296","110.47","0","2","2","33","11",""
"152","RR Rossouw (SA)","2014-2016","15","14","3","327","78","29.72","237","137.97","0","2","2","29","12",""
"153","AA Obanda (KENYA)","2007-2013","24","22","2","325","79","16.25","299","108.69","0","1","3","43","6",""
"154","LE Bosman (SA)","2006-2010","14","14","1","323","94","24.84","219","147.48","0","3","2","27","20",""
"155","Anshuman Rath (HKG)","2015-2017","20","19","2","321","44","18.88","344","93.31","0","0","1","31","2",""
"156","ML Hayden (AUS)","2005-2007","9","9","3","308","73*","51.33","214","143.92","0","4","0","37","13",""
"157","KL Rahul (INDIA)","2016-2017","9","8","2","304","110*","50.66","204","149.01","1","1","1","29","11",""
"158","NL McCullum (NZ)","2007-2016","63","41","15","299","36*","11.50","297","100.67","0","0","4","19","8",""
"159","RR Sarwan (WI)","2007-2010","18","16","3","298","59","22.92","286","104.19","0","2","1","19","6",""
"160","Usman Ghani (AFG)","2015-2017","13","13","0","292","69","22.46","267","109.36","0","2","0","31","7",""
"161","HDRL Thirimanne (SL)","2012-2016","26","20","2","291","44","16.16","267","108.98","0","0","1","27","5",""
"162","AN Kervezee (NL)","2009-2012","10","10","1","289","58*","32.11","262","110.30","0","2","0","19","6",""
"163","A Bagai (CAN)","2008-2013","9","9","2","284","67*","40.57","249","114.05","0","2","0","27","0",""
"164","Mohammad Shahzad (UAE)","2015-2017","20","20","2","281","52","15.61","239","117.57","0","1","2","25","11",""
"165","TAM Siriwardana (SL)","2015-2017","22","19","3","275","42","17.18","208","132.21","0","0","4","16","12",""
"166","AC Gilchrist (AUS)","2005-2008","13","13","1","272","48","22.66","192","141.66","0","0","0","27","13",""
"167","Amjad Javed (UAE)","2014-2017","22","18","3","271","76","18.06","242","111.98","0","1","1","17","15",""
"168","MV Boucher (SA)","2005-2010","25","21","6","268","36*","17.86","275","97.45","0","0","0","22","2",""
"169","T Taibu (ZIM)","2007-2012","17","15","6","259","45*","28.77","257","100.77","0","0","2","19","2",""
