"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","4","5",""
"719","Asad Shafiq (PAK)","2010-2012","10","-","-","-","-","-","-","-","-","-","-","-",""
"720","MS Atapattu (SL)","2006-2006","2","-","-","-","-","-","-","-","-","-","-","-",""
"721","JJ Atkinson (HKG)","2014-2016","13","-","-","-","-","-","-","-","-","-","-","-",""
"722","Awais Zia (PAK)","2012-2014","5","-","-","-","-","-","-","-","-","-","-","-",""
"723","Babar Azam (PAK)","2016-2017","14","-","-","-","-","-","-","-","-","-","-","-",""
"724","Babar Hayat (HKG)","2014-2017","24","-","-","-","-","-","-","-","-","-","-","-",""
"725","S Badrinath (INDIA)","2011-2011","1","-","-","-","-","-","-","-","-","-","-","-",""
"726","A Bagai (CAN)","2008-2013","9","-","-","-","-","-","-","-","-","-","-","-",""
"727","GJ Bailey (AUS/World)","2012-2017","30","-","-","-","-","-","-","-","-","-","-","-",""
"728","JM Bairstow (ENG)","2011-2017","23","-","-","-","-","-","-","-","-","-","-","-",""
"729","A Balbirnie (IRE)","2015-2016","10","-","-","-","-","-","-","-","-","-","-","-",""
"730","CT Bancroft (AUS)","2016-2016","1","-","-","-","-","-","-","-","-","-","-","-",""
"731","AB Barath (WI)","2010-2011","2","-","-","-","-","-","-","-","-","-","-","-",""
"732","W Barresi (NL)","2012-2017","35","-","-","-","-","-","-","-","-","-","-","-",""
"733","MC Bascombe (WI)","2011-2011","1","-","-","-","-","-","-","-","-","-","-","-",""
"734","OO Bascome (BMUDA)","2008-2008","1","-","-","-","-","-","-","-","-","-","-","-",""
"735","TC Bastiampillai (CAN)","2010-2010","2","-","-","-","-","-","-","-","-","-","-","-",""
"736","D Bau (PNG)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-",""
"737","CS Baugh (WI)","2008-2012","3","-","-","-","-","-","-","-","-","-","-","-",""
"738","IR Bell (ENG)","2006-2014","8","-","-","-","-","-","-","-","-","-","-","-",""
"739","B Bhandari (NEPAL)","2014-2015","10","-","-","-","-","-","-","-","-","-","-","-",""
"740","RA Bhatti (CAN)","2012-2012","4","-","-","-","-","-","-","-","-","-","-","-",""
"741","IS Billcliff (CAN)","2010-2010","2","-","-","-","-","-","-","-","-","-","-","-",""
"742","SW Billings (ENG)","2015-2017","13","-","-","-","-","-","-","-","-","-","-","-",""
"743","TR Birt (AUS)","2010-2012","4","-","-","-","-","-","-","-","-","-","-","-",""
"744","AM Blignaut (ZIM)","2010-2010","1","-","-","-","-","-","-","-","-","-","-","-",""
"745","TA Blundell (NZ)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-",""
"746","GH Bodi (SA)","2007-2007","1","-","-","-","-","-","-","-","-","-","-","-",""
"747","LE Bosman (SA)","2006-2010","14","-","-","-","-","-","-","-","-","-","-","-",""
"748","MV Boucher (SA)","2005-2010","25","-","-","-","-","-","-","-","-","-","-","-",""
"749","DM Bravo (WI)","2010-2014","12","-","-","-","-","-","-","-","-","-","-","-",""
"750","JP Bray (IRE)","2009-2009","2","-","-","-","-","-","-","-","-","-","-","-",""
"751","NT Broom (NZ)","2009-2017","11","-","-","-","-","-","-","-","-","-","-","-",""
"752","DG Brownlie (NZ)","2010-2014","5","-","-","-","-","-","-","-","-","-","-","-",""
"753","TC Bruce (NZ)","2017-2017","7","-","-","-","-","-","-","-","-","-","-","-",""
"754","NB Budayair (NEPAL)","2014-2014","4","-","-","-","-","-","-","-","-","-","-","-",""
"755","JC Buttler (ENG)","2011-2017","57","-","-","-","-","-","-","-","-","-","-","-",""
"756","AF Buurman (NL)","2010-2010","4","-","-","-","-","-","-","-","-","-","-","-",""
"757","MA Carberry (ENG)","2014-2014","1","-","-","-","-","-","-","-","-","-","-","-",""
"758","C Carter (HKG)","2015-2017","10","-","-","-","-","-","-","-","-","-","-","-",""
"759","JJ Celestine (BMUDA)","2008-2008","3","-","-","-","-","-","-","-","-","-","-","-",""
"760","RW Chakabva (ZIM)","2008-2015","5","-","-","-","-","-","-","-","-","-","-","-",""
"761","S Chanderpaul (WI)","2006-2010","22","-","-","-","-","-","-","-","-","-","-","-",""
"762","LD Chandimal (SL)","2010-2017","48","-","-","-","-","-","-","-","-","-","-","-",""
"763","J Charles (WI)","2011-2016","34","-","-","-","-","-","-","-","-","-","-","-",""
"764","DO Christian (WI)","2011-2011","2","-","-","-","-","-","-","-","-","-","-","-",""
"765","FRJ Coleman (SCOT)","2013-2013","1","-","-","-","-","-","-","-","-","-","-","-",""
"766","AN Cook (ENG)","2007-2009","4","-","-","-","-","-","-","-","-","-","-","-",""
"767","BN Cooper (NL)","2013-2017","26","-","-","-","-","-","-","-","-","-","-","-",""
"768","CK Coventry (ZIM)","2010-2015","13","-","-","-","-","-","-","-","-","-","-","-",""
"769","MH Cross (SCOT)","2013-2017","23","-","-","-","-","-","-","-","-","-","-","-",""
"770","D Daesrath (CAN)","2013-2013","1","-","-","-","-","-","-","-","-","-","-","-",""
"771","RR David (CAN)","2008-2008","4","-","-","-","-","-","-","-","-","-","-","-",""
"772","SM Davies (ENG)","2009-2011","5","-","-","-","-","-","-","-","-","-","-","-",""
"773","TB de Bruyn (SA)","2017-2017","2","-","-","-","-","-","-","-","-","-","-","-",""
"774","TN de Grooth (NL)","2008-2013","15","-","-","-","-","-","-","-","-","-","-","-",""
"775","Q de Kock (SA)","2012-2017","31","-","-","-","-","-","-","-","-","-","-","-",""
"776","SI de Saram (SL)","2009-2009","1","-","-","-","-","-","-","-","-","-","-","-",""
"777","AB de Villiers (SA)","2006-2017","78","-","-","-","-","-","-","-","-","-","-","-",""
"778","S Dhawan (INDIA)","2011-2017","28","-","-","-","-","-","-","-","-","-","-","-",""
"779","Dhiman Ghosh (BDESH)","2008-2008","1","-","-","-","-","-","-","-","-","-","-","-",""
"780","MS Dhoni (INDIA)","2006-2017","83","-","-","-","-","-","-","-","-","-","-","-",""
"781","N Dickwella (SL)","2016-2017","9","-","-","-","-","-","-","-","-","-","-","-",""
"782","HH Dippenaar (SA)","2006-2006","1","-","-","-","-","-","-","-","-","-","-","-",""
"783","TM Dowlin (WI)","2009-2010","2","-","-","-","-","-","-","-","-","-","-","-",""
"784","R Dravid (INDIA)","2011-2011","1","-","-","-","-","-","-","-","-","-","-","-",""
"785","BR Dunk (AUS)","2014-2017","5","-","-","-","-","-","-","-","-","-","-","-",""
"786","J Edness (BMUDA)","2008-2008","3","-","-","-","-","-","-","-","-","-","-","-",""
"787","CR Ervine (ZIM)","2010-2015","16","-","-","-","-","-","-","-","-","-","-","-",""
"788","Faizan Asif (UAE)","2014-2015","6","-","-","-","-","-","-","-","-","-","-","-",""
"789","Fakhar Zaman (PAK)","2017-2017","9","-","-","-","-","-","-","-","-","-","-","-",""
"790","CJ Ferguson (AUS)","2009-2009","3","-","-","-","-","-","-","-","-","-","-","-",""
"791","SE Findlay (WI)","2008-2008","2","-","-","-","-","-","-","-","-","-","-","-",""
"792","R Flannigan (SCOT)","2012-2012","4","-","-","-","-","-","-","-","-","-","-","-",""
"793","SP Fleming (NZ)","2005-2006","5","-","-","-","-","-","-","-","-","-","-","-",""
"794","ADS Fletcher (WI)","2008-2016","32","-","-","-","-","-","-","-","-","-","-","-",""
"795","CR Foggo (BMUDA)","2008-2008","3","-","-","-","-","-","-","-","-","-","-","-",""
"796","JS Foster (ENG)","2009-2009","5","-","-","-","-","-","-","-","-","-","-","-",""
"797","PG Fulton (NZ)","2006-2012","12","-","-","-","-","-","-","-","-","-","-","-",""
"798","G Gambhir (INDIA)","2007-2012","37","-","-","-","-","-","-","-","-","-","-","-",""
"799","D Ganga (WI)","2006-2006","1","-","-","-","-","-","-","-","-","-","-","-",""
"800","Ghulam Shabber (UAE)","2016-2017","8","-","-","-","-","-","-","-","-","-","-","-",""
"801","HH Gibbs (SA)","2005-2010","23","-","-","-","-","-","-","-","-","-","-","-",""
"802","AC Gilchrist (AUS)","2005-2008","13","-","-","-","-","-","-","-","-","-","-","-",""
"803","DM Gondaria (KENYA)","2013-2013","2","-","-","-","-","-","-","-","-","-","-","-",""
"804","TG Gordon (CAN)","2012-2012","3","-","-","-","-","-","-","-","-","-","-","-",""
"805","R Gunasekera (CAN)","2012-2013","8","-","-","-","-","-","-","-","-","-","-","-",""
"806","BJ Haddin (AUS)","2006-2014","34","-","-","-","-","-","-","-","-","-","-","-",""
"807","AD Hales (ENG)","2011-2017","48","-","-","-","-","-","-","-","-","-","-","-",""
"808","GM Hamilton (SCOT)","2007-2010","12","-","-","-","-","-","-","-","-","-","-","-",""
"809","Hammad Azam (PAK)","2012-2013","5","-","-","-","-","-","-","-","-","-","-","-",""
"810","Hamza Tariq (CAN)","2013-2013","3","-","-","-","-","-","-","-","-","-","-","-",""
"811","Haris Sohail (PAK)","2013-2015","4","-","-","-","-","-","-","-","-","-","-","-",""
"812","Hashmatullah Shahidi (AFG)","2013-2013","1","-","-","-","-","-","-","-","-","-","-","-",""
"813","ML Hayden (AUS)","2005-2007","9","-","-","-","-","-","-","-","-","-","-","-",""
"814","Hazratullah (AFG)","2016-2016","1","-","-","-","-","-","-","-","-","-","-","-",""
"815","DL Hemp (BMUDA)","2008-2008","2","-","-","-","-","-","-","-","-","-","-","-",""
"816","RR Hendricks (SA)","2014-2017","9","-","-","-","-","-","-","-","-","-","-","-",""
"817","WW Hinds (WI)","2006-2010","5","-","-","-","-","-","-","-","-","-","-","-",""
"818","GJ Hopkins (NZ)","2007-2010","10","-","-","-","-","-","-","-","-","-","-","-",""
"819","JM How (NZ)","2007-2008","5","-","-","-","-","-","-","-","-","-","-","-",""
"820","PJ Hughes (AUS)","2014-2014","1","-","-","-","-","-","-","-","-","-","-","-",""
"821","DP Hyatt (WI)","2011-2012","5","-","-","-","-","-","-","-","-","-","-","-",""
"822","Iftikhar Ahmed (PAK)","2016-2016","1","-","-","-","-","-","-","-","-","-","-","-",""
"823","Imran Farhat (PAK)","2010-2011","7","-","-","-","-","-","-","-","-","-","-","-",""
"824","Imran Nazir (PAK)","2007-2012","25","-","-","-","-","-","-","-","-","-","-","-",""
"825","Imrul Kayes (BDESH)","2010-2017","14","-","-","-","-","-","-","-","-","-","-","-",""
"826","CA Ingram (SA)","2010-2012","9","-","-","-","-","-","-","-","-","-","-","-",""
"827","PJ Ingram (NZ)","2010-2010","3","-","-","-","-","-","-","-","-","-","-","-",""
"828","Inzamam-ul-Haq (PAK)","2006-2006","1","-","-","-","-","-","-","-","-","-","-","-",""
"829","SS Iyer (INDIA)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-",""
"830","KM Jadhav (INDIA)","2015-2017","9","-","-","-","-","-","-","-","-","-","-","-",""
"831","Jahurul Islam (BDESH)","2010-2013","3","-","-","-","-","-","-","-","-","-","-","-",""
"832","Javed Ahmadi (AFG)","2012-2017","3","-","-","-","-","-","-","-","-","-","-","-",""
"833","CU Jayasinghe (SL)","2009-2010","5","-","-","-","-","-","-","-","-","-","-","-",""
"834","JS Jesani (KENYA)","2007-2007","1","-","-","-","-","-","-","-","-","-","-","-",""
"835","K Jethi (CAN)","2008-2008","5","-","-","-","-","-","-","-","-","-","-","-",""
"836","GO Jones (ENG)","2005-2006","2","-","-","-","-","-","-","-","-","-","-","-",""
"837","EC Joyce (ENG/IRE)","2006-2014","18","-","-","-","-","-","-","-","-","-","-","-",""
"838","Junaid Siddique (BDESH)","2007-2012","7","-","-","-","-","-","-","-","-","-","-","-",""
"839","S Jyoti (CAN)","2008-2008","2","-","-","-","-","-","-","-","-","-","-","-",""
"840","Kamran Akmal (PAK)","2006-2017","58","-","-","-","-","-","-","-","-","-","-","-",""
"841","SHT Kandamby (SL)","2008-2011","5","-","-","-","-","-","-","-","-","-","-","-",""
"842","CK Kapugedera (SL)","2006-2017","43","-","-","-","-","-","-","-","-","-","-","-",""
"843","IA Karim (KENYA)","2013-2013","7","-","-","-","-","-","-","-","-","-","-","-",""
"844","KD Karthik (INDIA)","2006-2017","10","-","-","-","-","-","-","-","-","-","-","-",""
"845","SM Katich (AUS)","2005-2006","3","-","-","-","-","-","-","-","-","-","-","-",""
"846","AN Kervezee (NL)","2009-2012","10","-","-","-","-","-","-","-","-","-","-","-",""
"847","S Keshvani (CAN)","2010-2010","2","-","-","-","-","-","-","-","-","-","-","-",""
"848","RWT Key (ENG)","2009-2009","1","-","-","-","-","-","-","-","-","-","-","-",""
"849","SP Khakurel (NEPAL)","2014-2015","8","-","-","-","-","-","-","-","-","-","-","-",""
"850","Khalid Latif (PAK)","2008-2016","13","-","-","-","-","-","-","-","-","-","-","-",""
"851","UT Khawaja (AUS)","2016-2016","9","-","-","-","-","-","-","-","-","-","-","-",""
"852","Khurram Manzoor (PAK)","2016-2016","3","-","-","-","-","-","-","-","-","-","-","-",""
"853","Khurram Nawaz (OMAN)","2017-2017","4","-","-","-","-","-","-","-","-","-","-","-",""
"854","C Kieswetter (ENG)","2010-2012","25","-","-","-","-","-","-","-","-","-","-","-",""
"855","M Klinger (AUS)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-",""
"856","HG Kuhn (SA)","2009-2017","7","-","-","-","-","-","-","-","-","-","-","-",""
"857","HGJM Kulatunga (SL)","2008-2008","2","-","-","-","-","-","-","-","-","-","-","-",""
"858","NR Kumar (CAN)","2012-2013","6","-","-","-","-","-","-","-","-","-","-","-",""
"859","TWM Latham (NZ)","2012-2017","13","-","-","-","-","-","-","-","-","-","-","-",""
"860","RE Levi (SA)","2012-2012","13","-","-","-","-","-","-","-","-","-","-","-",""
"861","E Lewis (WI)","2016-2017","14","-","-","-","-","-","-","-","-","-","-","-",""
"862","Liton Das (BDESH)","2015-2017","4","-","-","-","-","-","-","-","-","-","-","-",""
"863","LS Livingstone (ENG)","2017-2017","2","-","-","-","-","-","-","-","-","-","-","-",""
"864","MJ Lumb (ENG)","2010-2014","27","-","-","-","-","-","-","-","-","-","-","-",""
"865","CA Lynn (AUS)","2014-2016","5","-","-","-","-","-","-","-","-","-","-","-",""
"866","NFI McCallum (SCOT)","2007-2010","11","-","-","-","-","-","-","-","-","-","-","-",""
"867","BB McCullum (NZ)","2005-2015","71","-","-","-","-","-","-","-","-","-","-","-",""
"868","PD McGlashan (NZ)","2006-2010","11","-","-","-","-","-","-","-","-","-","-","-",""
"869","ND McKenzie (SA)","2006-2009","2","-","-","-","-","-","-","-","-","-","-","-",""
"870","CD McMillan (NZ)","2005-2007","8","-","-","-","-","-","-","-","-","-","-","-",""
"871","NJ Maddinson (AUS)","2013-2014","2","-","-","-","-","-","-","-","-","-","-","-",""
"872","RP Magar (NEPAL)","2014-2015","6","-","-","-","-","-","-","-","-","-","-","-",""
"873","DJ Malan (ENG)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-",""
"874","G Malla (NEPAL)","2014-2015","11","-","-","-","-","-","-","-","-","-","-","-",""
"875","AK Mandal (NEPAL)","2015-2015","2","-","-","-","-","-","-","-","-","-","-","-",""
"876","Mandeep Singh (INDIA)","2016-2016","3","-","-","-","-","-","-","-","-","-","-","-",""
"877","SE Marsh (AUS)","2008-2016","15","-","-","-","-","-","-","-","-","-","-","-",""
"878","HJH Marshall (NZ)","2005-2006","3","-","-","-","-","-","-","-","-","-","-","-",""
"879","JAH Marshall (NZ)","2005-2008","3","-","-","-","-","-","-","-","-","-","-","-",""
"880","XM Marshall (WI)","2008-2009","6","-","-","-","-","-","-","-","-","-","-","-",""
"881","DR Martyn (AUS)","2005-2006","4","-","-","-","-","-","-","-","-","-","-","-",""
"882","RD McCann (IRE)","2012-2012","3","-","-","-","-","-","-","-","-","-","-","-",""
"883","BKG Mendis (SL)","2016-2017","8","-","-","-","-","-","-","-","-","-","-","-",""
"884","DA Miller (SA/World)","2010-2017","57","-","-","-","-","-","-","-","-","-","-","-",""
"885","Misbah-ul-Haq (PAK)","2007-2012","39","-","-","-","-","-","-","-","-","-","-","-",""
"886","Mohammad Iqbal (CAN)","2008-2008","3","-","-","-","-","-","-","-","-","-","-","-",""
"887","Mohammad Mithun (BDESH)","2014-2016","12","-","-","-","-","-","-","-","-","-","-","-",""
"888","Mohammad Qazi (CAN)","2008-2008","1","-","-","-","-","-","-","-","-","-","-","-",""
"889","Mohammad Rizwan (PAK)","2015-2016","10","-","-","-","-","-","-","-","-","-","-","-",""
"890","Mohammad Salman (PAK)","2011-2011","1","-","-","-","-","-","-","-","-","-","-","-",""
"891","Mohammad Shahzad (AFG)","2010-2017","58","-","-","-","-","-","-","-","-","-","-","-",""
"892","Mohammad Yousuf (PAK)","2006-2010","3","-","-","-","-","-","-","-","-","-","-","-",""
"893","GMC Mol (NL)","2008-2008","1","-","-","-","-","-","-","-","-","-","-","-",""
"894","D Mongia (INDIA)","2006-2006","1","-","-","-","-","-","-","-","-","-","-","-",""
"895","PJ Moor (ZIM)","2016-2016","8","-","-","-","-","-","-","-","-","-","-","-",""
"896","VV Morea (PNG)","2015-2017","5","-","-","-","-","-","-","-","-","-","-","-",""
"897","EJG Morgan (ENG)","2009-2017","70","-","-","-","-","-","-","-","-","-","-","-",""
"898","RS Morton (WI)","2006-2010","7","-","-","-","-","-","-","-","-","-","-","-",""
"899","M Mosehle (SA)","2017-2017","7","-","-","-","-","-","-","-","-","-","-","-",""
"900","Muhammad Kaleem (UAE)","2016-2016","9","-","-","-","-","-","-","-","-","-","-","-",""
"901","Muhammad Usman (UAE)","2016-2017","19","-","-","-","-","-","-","-","-","-","-","-",""
"902","Mukhtar Ahmed (PAK)","2015-2015","6","-","-","-","-","-","-","-","-","-","-","-",""
"903","AA Mulla (CAN)","2008-2008","4","-","-","-","-","-","-","-","-","-","-","-",""
"904","Munir Dar (HKG)","2014-2014","2","-","-","-","-","-","-","-","-","-","-","-",""
"905","HG Munsey (SCOT)","2015-2017","17","-","-","-","-","-","-","-","-","-","-","-",""
"906","D Murphy (SCOT)","2013-2013","4","-","-","-","-","-","-","-","-","-","-","-",""
"907","Mushfiqur Rahim (BDESH)","2006-2017","61","-","-","-","-","-","-","-","-","-","-","-",""
"908","P Mustard (ENG)","2008-2008","2","-","-","-","-","-","-","-","-","-","-","-",""
"909","F Mutizwa (ZIM)","2011-2012","3","-","-","-","-","-","-","-","-","-","-","-",""
"910","R Mutumbami (ZIM)","2015-2016","14","-","-","-","-","-","-","-","-","-","-","-",""
"911","SJ Myburgh (NL)","2012-2017","28","-","-","-","-","-","-","-","-","-","-","-",""
"912","Nadif Chowdhury (BDESH)","2006-2007","3","-","-","-","-","-","-","-","-","-","-","-",""
"913","Najeeb Tarakai (AFG)","2014-2017","9","-","-","-","-","-","-","-","-","-","-","-",""
"914","Najibullah Zadran (AFG)","2012-2017","40","-","-","-","-","-","-","-","-","-","-","-",""
"915","Naseem Khushi (OMAN)","2017-2017","4","-","-","-","-","-","-","-","-","-","-","-",""
"916","Nasir Jamshed (PAK)","2012-2013","18","-","-","-","-","-","-","-","-","-","-","-",""
"917","Nauman Anwar (PAK)","2015-2015","1","-","-","-","-","-","-","-","-","-","-","-",""
"918","Nazimuddin (BDESH)","2007-2008","7","-","-","-","-","-","-","-","-","-","-","-",""
"919","Nazmus Sadat (BDESH)","2006-2006","1","-","-","-","-","-","-","-","-","-","-","-",""
"920","PM Nevill (AUS)","2016-2016","9","-","-","-","-","-","-","-","-","-","-","-",""
"921","HM Nicholls (NZ)","2016-2017","4","-","-","-","-","-","-","-","-","-","-","-",""
"922","PA Nixon (ENG)","2007-2007","1","-","-","-","-","-","-","-","-","-","-","-",""
"923","ML Nkala (ZIM)","2006-2006","1","-","-","-","-","-","-","-","-","-","-","-",""
"924","Noor Ali Zadran (AFG)","2010-2017","20","-","-","-","-","-","-","-","-","-","-","-",""
"925","MJ North (AUS)","2009-2009","1","-","-","-","-","-","-","-","-","-","-","-",""
"926","Nurul Hasan (BDESH)","2016-2017","9","-","-","-","-","-","-","-","-","-","-","-",""
"927","AA Obanda (KENYA)","2007-2013","24","-","-","-","-","-","-","-","-","-","-","-",""
"928","NJ O'Brien (IRE)","2008-2016","30","-","-","-","-","-","-","-","-","-","-","-",""
"929","DO Obuya (KENYA)","2007-2012","10","-","-","-","-","-","-","-","-","-","-","-",""
"930","NV Ojha (INDIA)","2010-2010","2","-","-","-","-","-","-","-","-","-","-","-",""
"931","KO Otieno (KENYA)","2008-2008","4","-","-","-","-","-","-","-","-","-","-","-",""
"932","MA Ouma (KENYA)","2007-2013","22","-","-","-","-","-","-","-","-","-","-","-",""
"933","SD Outerbridge (BMUDA)","2008-2008","3","-","-","-","-","-","-","-","-","-","-","-",""
"934","TD Paine (AUS/World)","2009-2017","12","-","-","-","-","-","-","-","-","-","-","-",""
"935","K Pala (PNG)","2015-2015","2","-","-","-","-","-","-","-","-","-","-","-",""
"936","MK Pandey (INDIA)","2015-2017","12","-","-","-","-","-","-","-","-","-","-","-",""
"937","RR Pant (INDIA)","2017-2017","2","-","-","-","-","-","-","-","-","-","-","-",""
"938","BA Parchment (WI)","2007-2007","1","-","-","-","-","-","-","-","-","-","-","-",""
"939","PA Patel (INDIA)","2011-2011","2","-","-","-","-","-","-","-","-","-","-","-",""
"940","SP Patil (UAE)","2014-2016","18","-","-","-","-","-","-","-","-","-","-","-",""
"941","MDKJ Perera (SL)","2013-2017","27","-","-","-","-","-","-","-","-","-","-","-",""
"942","WKD Perkins (WI)","2008-2008","1","-","-","-","-","-","-","-","-","-","-","-",""
"943","AN Petersen (SA)","2010-2010","2","-","-","-","-","-","-","-","-","-","-","-",""
"944","GD Phillips (NZ)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-",""
"945","LA Pomersbach (AUS)","2007-2007","1","-","-","-","-","-","-","-","-","-","-","-",""
"946","RT Ponting (AUS)","2005-2009","17","-","-","-","-","-","-","-","-","-","-","-",""
"947","NS Poonia (SCOT)","2007-2010","8","-","-","-","-","-","-","-","-","-","-","-",""
"948","N Pooran (WI)","2016-2016","3","-","-","-","-","-","-","-","-","-","-","-",""
"949","WTS Porterfield (IRE)","2008-2017","56","-","-","-","-","-","-","-","-","-","-","-",""
"950","A Poulose (OMAN)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-",""
"951","KOA Powell (WI)","2014-2014","1","-","-","-","-","-","-","-","-","-","-","-",""
"952","AD Poynter (IRE)","2012-2016","19","-","-","-","-","-","-","-","-","-","-","-",""
"953","SW Poynter (IRE)","2015-2017","14","-","-","-","-","-","-","-","-","-","-","-",""
"954","AG Prince (SA)","2005-2005","1","-","-","-","-","-","-","-","-","-","-","-",""
"955","MJ Prior (ENG)","2007-2010","10","-","-","-","-","-","-","-","-","-","-","-",""
"956","SMA Priyanjan (SL)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-",""
"957","Raees Ahmadzai (AFG)","2010-2010","8","-","-","-","-","-","-","-","-","-","-","-",""
"958","Rafatullah Mohmand (PAK)","2015-2015","3","-","-","-","-","-","-","-","-","-","-","-",""
"959","AM Rahane (INDIA)","2011-2016","20","-","-","-","-","-","-","-","-","-","-","-",""
"960","KL Rahul (INDIA)","2016-2017","9","-","-","-","-","-","-","-","-","-","-","-",""
"961","D Ramdin (WI)","2006-2016","58","-","-","-","-","-","-","-","-","-","-","-",""
"962","Rameez Raja (2) (PAK)","2011-2011","2","-","-","-","-","-","-","-","-","-","-","-",""
"963","Rameez Shahzad (UAE)","2016-2017","8","-","-","-","-","-","-","-","-","-","-","-",""
"964","DA Rankin (IRE)","2015-2016","2","-","-","-","-","-","-","-","-","-","-","-",""
"965","Raqibul Hasan (BDESH)","2008-2010","5","-","-","-","-","-","-","-","-","-","-","-",""
"966","AT Rayudu (INDIA)","2014-2016","6","-","-","-","-","-","-","-","-","-","-","-",""
"967","CMW Read (ENG)","2006-2006","1","-","-","-","-","-","-","-","-","-","-","-",""
"968","NJ Reardon (AUS)","2014-2014","2","-","-","-","-","-","-","-","-","-","-","-",""
"969","DJ Reekers (NL)","2008-2009","6","-","-","-","-","-","-","-","-","-","-","-",""
"970","FL Reifer (WI)","2009-2009","1","-","-","-","-","-","-","-","-","-","-","-",""
"971","ACL Richards (WI)","2007-2007","1","-","-","-","-","-","-","-","-","-","-","-",""
"972","DM Richards (WI)","2009-2009","1","-","-","-","-","-","-","-","-","-","-","-",""
"973","BJ Rohrer (AUS)","2013-2013","1","-","-","-","-","-","-","-","-","-","-","-",""
"974","L Ronchi (AUS/NZ)","2008-2017","32","-","-","-","-","-","-","-","-","-","-","-",""
"975","Rony Talukdar (BDESH)","2015-2015","1","-","-","-","-","-","-","-","-","-","-","-",""
"976","RR Rossouw (SA)","2014-2016","15","-","-","-","-","-","-","-","-","-","-","-",""
"977","JJ Roy (ENG)","2014-2017","23","-","-","-","-","-","-","-","-","-","-","-",""
"978","JA Rudolph (SA)","2006-2006","1","-","-","-","-","-","-","-","-","-","-","-",""
"979","RJMGM Rupasinghe (SL)","2009-2009","2","-","-","-","-","-","-","-","-","-","-","-",""
"980","HD Rutherford (NZ)","2013-2013","7","-","-","-","-","-","-","-","-","-","-","-",""
"981","Salman Butt (PAK)","2007-2010","24","-","-","-","-","-","-","-","-","-","-","-",""
"982","S Samarawickrama (SL)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-",""
"983","SV Samson (INDIA)","2015-2015","1","-","-","-","-","-","-","-","-","-","-","-",""
"984","KC Sangakkara (SL)","2006-2014","56","-","-","-","-","-","-","-","-","-","-","-",""
"985","Saqlain Haider (UAE)","2016-2016","6","-","-","-","-","-","-","-","-","-","-","-",""
"986","Sarfraz Ahmed (PAK)","2010-2017","35","-","-","-","-","-","-","-","-","-","-","-",""
"987","JD Schoonheim (NL)","2008-2008","1","-","-","-","-","-","-","-","-","-","-","-",""
"988","Shabir Noori (AFG)","2012-2012","1","-","-","-","-","-","-","-","-","-","-","-",""
"989","Shafiqullah (AFG)","2010-2017","35","-","-","-","-","-","-","-","-","-","-","-",""
"990","KD Shah (HKG)","2014-2016","15","-","-","-","-","-","-","-","-","-","-","-",""
"991","OA Shah (ENG)","2007-2009","17","-","-","-","-","-","-","-","-","-","-","-",""
"992","Shahid Wasif (HKG)","2016-2017","4","-","-","-","-","-","-","-","-","-","-","-",""
"993","Shahriar Nafees (BDESH)","2006-2006","1","-","-","-","-","-","-","-","-","-","-","-",""
"994","Shahzaib Hasan (PAK)","2009-2010","10","-","-","-","-","-","-","-","-","-","-","-",""
"995","Shaiman Anwar (UAE)","2014-2017","26","-","-","-","-","-","-","-","-","-","-","-",""
"996","Shakeel Ansar (PAK)","2012-2012","2","-","-","-","-","-","-","-","-","-","-","-",""
"997","Shamsur Rahman (BDESH)","2013-2014","9","-","-","-","-","-","-","-","-","-","-","-",""
"998","JNK Shannon (IRE)","2013-2016","2","-","-","-","-","-","-","-","-","-","-","-",""
"999","Sharjeel Khan (PAK)","2013-2016","15","-","-","-","-","-","-","-","-","-","-","-",""
"1000","V Shetty (UAE)","2014-2014","2","-","-","-","-","-","-","-","-","-","-","-",""
"1001","Shoaib Khan jnr (PAK)","2008-2008","4","-","-","-","-","-","-","-","-","-","-","-",""
"1002","L Siaka (PNG)","2015-2017","9","-","-","-","-","-","-","-","-","-","-","-",""
"1003","V Sibanda (ZIM)","2007-2016","26","-","-","-","-","-","-","-","-","-","-","-",""
"1004","Sikander Zulfiqar (NL)","2016-2016","2","-","-","-","-","-","-","-","-","-","-","-",""
"1005","MS Sinclair (NZ)","2005-2007","2","-","-","-","-","-","-","-","-","-","-","-",""
"1006","CJO Smith (SCOT)","2007-2009","8","-","-","-","-","-","-","-","-","-","-","-",""
"1007","DS Smith (WI)","2007-2009","6","-","-","-","-","-","-","-","-","-","-","-",""
"1008","SJS Smith (SCOT)","2010-2012","5","-","-","-","-","-","-","-","-","-","-","-",""
