"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","4","5",""
"135","SB Styris (NZ)","2005-2010","31","21","51.3","0","349","18","3/5","19.38","6.77","17.1","0","0",""
"136","LL Tsotsobe (SA)","2009-2014","23","23","78.0","2","541","18","3/16","30.05","6.93","26.0","0","0",""
"137","PA van Meekeren (NL)","2013-2017","18","17","54.0","2","330","18","4/11","18.33","6.11","18.0","1","0",""
"138","HA Varaiya (KENYA)","2007-2013","25","24","77.2","2","461","18","2/10","25.61","5.96","25.7","0","0",""
"139","LJ Wright (ENG)","2007-2014","51","23","55.0","0","465","18","2/24","25.83","8.45","18.3","0","0",""
"140","DAJ Bracewell (NZ)","2011-2015","14","14","43.4","0","408","17","3/25","24.00","9.34","15.4","0","0",""
"141","AB Dinda (INDIA)","2009-2012","9","9","30.0","1","245","17","4/19","14.41","8.16","10.5","1","0",""
"142","CH Gayle (WI)","2006-2017","52","23","53.1","0","377","17","2/15","22.17","7.09","18.7","0","0",""
"143","Z Khan (INDIA)","2006-2012","17","17","58.4","0","448","17","4/19","26.35","7.63","20.7","1","0",""
"144","CK Langeveldt (SA)","2005-2010","9","9","33.0","0","241","17","4/19","14.17","7.30","11.6","1","0",""
"145","R McLaren (SA)","2009-2014","12","12","43.5","0","332","17","5/19","19.52","7.57","15.4","0","1",""
"146","GJ Maxwell (AUS)","2012-2017","38","32","77.0","0","575","17","3/13","33.82","7.46","27.1","0","0",""
"147","HH Pandya (INDIA)","2016-2017","24","23","57.3","1","471","17","3/8","27.70","8.19","20.2","0","0",""
"148","SPD Smith (AUS)","2010-2016","30","17","48.3","1","377","17","3/20","22.17","7.77","17.1","0","0",""
"149","SC Williams (ZIM)","2006-2016","24","23","74.0","0","532","17","3/15","31.29","7.18","26.1","0","0",""
"150","RS Bopara (ENG)","2008-2014","38","21","53.4","1","387","16","4/10","24.18","7.21","20.1","1","0",""
"151","E Chigumbura (ZIM)","2006-2016","47","21","46.0","0","427","16","4/31","26.68","9.28","17.2","1","0",""
"152","PD Collingwood (ENG/World)","2005-2017","36","20","39.0","0","347","16","4/22","21.68","8.89","14.6","1","0",""
"153","GD Drummond (SCOT)","2008-2013","17","17","55.0","1","381","16","3/20","23.81","6.92","20.6","0","0",""
